name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
CHXR 73 b,623,12.569 Jupiters,17.293,2006
CI Tauri b,515,11.6 Jupiters,12.939,2019
CoRoT-10 b,1125,2.75 Jupiters,15.22,2010
CoRoT-11 b,1827,2.33 Jupiters,12.939,2010
CoRoT-12 b,3751,0.917 Jupiters,15.515,2010
CoRoT-13 b,3458,1.308 Jupiters,15.039,2010
CoRoT-14 b,4371,7.6 Jupiters,16.033,2010
CoRoT-16 b,2740,0.535 Jupiters,15.63,2011
CoRoT-17 b,3001,2.43 Jupiters,15.46,2011
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-18 b,2838,3.47 Jupiters,15,2011
CoRoT-19 b,2512,1.11 Jupiters,14.007,2011
CoRoT-1 b,2627,1.03 Jupiters,13.6,2008
CoRoT-20 b,2819,4.3 Jupiters,14.66,2011
CoRoT-20 c,2819,17 Jupiters,14.66,2018
CoRoT-21 b,4563,2.26 Jupiters,16,2012
CoRoT-22 b,1931,12.2 Earths,13.944,2014
CoRoT-23 b,1957,2.8 Jupiters,15.63,2011
CoRoT-24 b,1957,5.7 Earths,15.18,2014
CoRoT-24 c,1957,28 Earths,15.18,2014
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009
CoRoT-7 b,524,4.07661 Earths,11.668,2009
CoRoT-7 c,524,8.4 Earths,11.668,2009
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019
EPIC 201757695.02,1884,0.688 Earths,15.02,2020
EPIC 201833600 c,846,0.972 Earths,14.717,2019
EPIC 201841433 b,1442,1.12 Earths,14.867,2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019
EPIC 201757695.02,1884,0.688 Earths,15.02,2020
EPIC 201833600 c,846,0.972 Earths,14.717,2019
EPIC 201841433 b,1442,1.12 Earths,14.867,2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019
EPIC 201757695.02,1884,0.688 Earths,15.02,2020
EPIC 201833600 c,846,0.972 Earths,14.717,2019
EPIC 201841433 b,1442,1.12 Earths,14.867,2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019
EPIC 201757695.02,1884,0.688 Earths,15.02,2020
EPIC 201833600 c,846,0.972 Earths,14.717,2019
EPIC 201841433 b,1442,1.12 Earths,14.867,2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019
EPIC 201757695.02,1884,0.688 Earths,15.02,2020
EPIC 201833600 c,846,0.972 Earths,14.717,2019
EPIC 201841433 b,1442,1.12 Earths,14.867,2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019
EPIC 206042996 b,1492,3.26 Earths,16.743,2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 206042996 b,1492,3.26 Earths,16.743,2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 206042996 b,1492,3.26 Earths,16.743,2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016
EPIC 211945201 b,596,27 Earths,10.154,2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016
EPIC 220674823 c,803,5.8 Earths,12.102,2016
EPIC 246193072 b,751,0.26 Jupiters,12.697,2020
EPIC 246851721 b,1098,3 Jupiters,11.439,2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018
EPIC 249893012 b,1058,8.75 Earths,11.428,2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006
FU Tauri b,457,16 Jupiters,20.48,2008
G 9-40 b,91,4.76 Earths,13.823,2019
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009
Gamma Cephei b,44,1.85 Jupiters,3.21,2003
Gamma Librae b,155,1.02 Jupiters,3.91,2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018
GJ 1061 b,12,1.37 Earths,13.06,2020
GJ 1061 c,12,1.74 Earths,13.06,2020
GJ 1061 d,12,1.64 Earths,13.06,2020
GJ 1132 b,41,1.66 Earths,13.49,2015
GJ 1132 c,41,2.64 Earths,13.49,2018
GJ 1148 b,36,0.30425 Jupiters,11.92,2010
GJ 1148 c,36,0.21414 Jupiters,11.92,2017
GJ 1214 b,48,6.26125 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.193,2020
GJ 1265 b,33,7.4 Earths,13.57,2018
GJ 143 b,53,22.7 Earths,7.87,2019
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 160.2 b,84,10.2 Earths,9.68,2014
GJ 163 b,49,10.6 Earths,11.81,2013
GJ 163 c,49,6.8 Earths,11.81,2013
GJ 163 d,49,29.4 Earths,11.81,2013
GJ 179 b,40,0.82 Jupiters,12,2009
GJ 180 b,39,6.49 Earths,10.91,2014
GJ 180 c,39,6.4 Earths,10.91,2014
GJ 143 b,53,22.7 Earths,7.87,2019
GJ 15 A b,12,3.03 Earths,8.08,2014
GJ 15 A c,12,36 Earths,8.08,2018
GJ 160.2 b,84,10.2 Earths,9.68,2014
GJ 163 b,49,10.6 Earths,11.81,2013
GJ 163 c,49,6.8 Earths,11.81,2013
GJ 163 d,49,29.4 Earths,11.81,2013
GJ 179 b,40,0.82 Jupiters,12,2009
GJ 180 b,39,6.49 Earths,10.91,2014
GJ 180 c,39,6.4 Earths,10.91,2014
GJ 3323 c,17,2.31 Earths,12.22,2017
GJ 3341 b,76,6.6 Earths,12.08,2015
